L,n_matrices,im2row_DRbatch_cuda,input_row transpose,matmul random vectors,get_id_count_cuda,index_bucket_cuda,get_bucket_compact_ids_cuda,get_centroids_add_cuda,div_remap_centroids_cuda,matrix multiplication,reconstruct_output_cuda,bias_add_cuda,get_bucket_counts_out_cuda,Total forward pass,Total Time
1,17328,2.04729,0.0036699999999999992,6.664800000000002,6.530030000000001,0.03048,0.95434,3.315880000000001,0.015250000000000001,0.036689999999999987,3.18594,0.07428,0.035309999999999994,22.921509999999994,45.81547
2,8664,1.5743800000000001,0.98693,3.864579999999999,3.27821,0.02612,0.4612500000000001,1.5063500000000005,0.013989999999999999,0.029760000000000005,1.6557399999999998,0.07558999999999999,0.029050000000000006,13.52826,27.03021
3,5776,1.4164,0.9945099999999999,2.62372,2.24369,0.026650000000000004,0.29206999999999994,1.0745399999999996,0.014189999999999994,0.029900000000000006,1.14431,0.07658999999999999,0.027190000000000002,9.990630000000001,19.95439
4,4332,1.3398200000000002,0.9922100000000001,2.05587,1.6393600000000002,0.024040000000000006,0.21259999999999996,0.9136399999999998,0.014399999999999996,0.03045000000000001,0.8989899999999998,0.07713,0.02647,8.251700000000001,16.47668
5,3466,1.2963999999999998,1.01696,1.7321900000000003,1.3352,0.024050000000000002,0.16518999999999998,0.8658900000000003,0.014409999999999996,0.04744,0.7721599999999998,0.07696000000000001,0.02602,7.4003299999999985,14.773200000000001
6,2888,1.2575999999999998,1.00978,1.52131,1.11437,0.02515,0.13304000000000002,0.7862999999999999,0.014289999999999997,0.03238,0.6495199999999998,0.07591999999999999,0.025200000000000007,6.67057,13.31543
7,2476,1.2324599999999999,1.02804,1.3760799999999995,0.97151,0.02558,0.11185999999999997,0.8197699999999999,0.015799999999999998,0.045409999999999985,0.6100700000000001,0.07446,0.02539,6.362909999999999,12.69934
8,2166,1.2154000000000003,1.0216499999999997,1.2568499999999996,0.85944,0.024959999999999996,0.09508,0.8959800000000001,0.014610000000000001,0.029440000000000004,0.54861,0.07368,0.024720000000000002,6.0865599999999995,12.146979999999997
9,1926,1.2043599999999999,1.0276299999999998,1.1831800000000001,0.77995,0.025209999999999996,0.08444000000000003,2.79442,0.015060000000000004,0.03165,0.4798800000000002,0.07177000000000001,0.024280000000000003,7.748180000000001,15.47001
10,1733,1.2055099999999999,1.0516199999999998,1.13728,0.7320099999999998,0.023629999999999995,0.07629,3.0755000000000003,0.01487,0.04701,0.45205000000000006,0.07044999999999997,0.02489,7.93779,15.848899999999999
11,1576,1.19445,1.0482799999999999,1.0846,0.69334,0.02398,0.06811000000000002,3.3691900000000006,0.01531,0.046959999999999995,0.4291199999999999,0.06944999999999998,0.024820000000000002,8.09451,16.16212
